id|name
2584361|Bus 440: Graz Jakominiplatz => Eichkögl Kirche (via Kohldorf Kreutzer)
2584363|Bus 440: Graz Jakominiplatz => Kirchberg an der Raab Pfarrheim (via Hart bei Graz Bahnhof)
2584366|Bus 440: Graz Jakominiplatz => Kirchberg an der Raab Pfarrheim
2584368|Bus 440: Graz Jakominiplatz => Sankt Marein bei Graz Gewerbepark (via Hart bei Graz Bahnhof)
2584371|Bus 440: Kirchberg an der Raab Pfarrheim => Graz Jakominiplatz (via Studenzen-Fladnitz Bahnhof and Prüfing Weg)
2584374|Bus 440: Kirchberg an der Raab Pfarrheim => Graz Jakominiplatz (via Kohldorf Kreutzer)
2584376|Bus 440: Kirchberg an der Raab Pfarrheim => Graz Jakominiplatz (via Pirkwiesen Schloss)
2584378|Bus 440: Kirchberg an der Raab Pfarrheim => Pirkwiesen Kohldorf Kreuzung
2584380|Bus 440: Kirchberg an der Raab Schule => Schemerlhöhe Gasthaus Hügellandhof
2584382|Bus 440: Mittergoggitsch Leopold => Graz Jakominiplatz
2584384|Bus 440: Sankt Marein bei Graz Gewerbepark => Graz Jakominiplatz (not via Pachern bei Graz Schule)
2584386|Bus 440: Sankt Marein bei Graz Gewerbepark => Graz Jakominiplatz (via Prüfing Weg)
2584388|Bus 440: Sankt Marein bei Graz Schulen => Dornegg bei Graz Leifert
2584390|Bus 440: Sankt Marein bei Graz Schulen => Studenzen-Fladnitz Bahnhof
2584393|Bus 440: Schemerlhöhe Rotes Kreuz => Sankt Marein bei Graz Gewerbepark
2584396|Bus 440: Studenzen Ort => Graz Jakominiplatz
2587531|Bus 441: Goggitsch Kapelle => Graz Jakominiplatz
2587535|Bus 441: Graz Jakominiplatz => Sankt Marein bei Graz Gewerbepark
2590998|Bus 89: Krenngasse => Kaiser-Josef-Platz/Oper
2617394|Bus 241: Faßlberg Pölzenkapelle => Oberschöckl Windischhansl
2642307|Bus 450: Grambach Gemeindeamt => Raaba Volksschule
2642309|Bus 450: Raaba Bahnhof => Raaba Lukas
2642311|Bus 450: Raaba Lukas => Raaba Kreisverkehr
2642313|Bus 450: Raaba Volksschule => Raaba Lukas
2642598|Bus 460: Graz Andreas-Hofer-Platz/Joanneumsviertel => Riegersburg Mitte
2642602|Bus 460: Riegersburg Mitte => Graz Don Bosco Bahnhof
2648379|Bus 470: Fürstenfeld Bahnhof => Gleisdorf Busbahnhof
2648384|Bus 470: Fürstenfeld Bahnhof => Graz Hauptbahnhof
2648388|Bus 470: Gleisdorf Busbahnhof => Graz Andreas-Hofer-Platz/Joanneumsviertel
2648391|Bus 470: Graz Andreas-Hofer-Platz/Joanneumsviertel => Fürstenfeld Bahnhof
2648396|Bus 470: Graz Andreas-Hofer-Platz/Joanneumsviertel => Fürstenfeld Bahnhof (not via Gleisdorf Schillerstraße/Bahnhof and via Sinabelkirchen Postamt)
2648400|Bus 470: Graz Don Bosco Bahnhof => Graz Andreas-Hofer-Platz/Joanneumsviertel
2648405|Bus 470: Graz Hauptbahnhof => Fürstenfeld Bahnhof (via Gleisdorf Bahnhof)
2648409|Bus 470: Ilz Hauptplatz => Gleisdorf Busbahnhof
2648412|Bus 470: Ilz Hauptplatz => Graz Andreas-Hofer-Platz/Joanneumsviertel
2648415|Bus 470: Ilz Schule => Gleisdorf Busbahnhof
2648418|Bus 470: Wetzawinkel Abzweigung Ort => Gleisdorf Schule
2649674|Bus X41: Fürstenfeld Bahnhof => Graz Hauptbahnhof
2649676|Bus X41: Graz Andreas-Hofer-Platz/Joanneumsviertel => Fürstenfeld Bahnhof
2649681|Bus X41: Güssing Postamt => Graz Don Bosco Bahnhof
